name,highway,oneway,length,lanes,speed_kph,maxspeed,travel_time,geometry
Kilcrease Circle,residential,False,69.90899999999999,,40.2,,6.3,"LINESTRING (620803.5445083195 4404654.699364856, 620765.9105970145 4404653.429177124, 620743.0654955591 4404676.327954689)"
Kilcrease Circle,residential,False,340.68899999999996,,40.2,,30.5,"LINESTRING (620803.5445083195 4404654.699364856, 620796.61680339 4404800.259274219, 620790.7444459244 4404807.64947219, 620652.0606630415 4404809.450991484, 620616.7878029365 4404807.330511557, 620605.1240321707 4404807.191398204)"
Kilcrease Circle,residential,False,35.544,,40.2,,3.2,"LINESTRING (620569.1412235518 4404717.332218525, 620603.878582691 4404725.205959626)"
Kilcrease Circle,residential,False,33.839,,40.2,,3.0,"LINESTRING (620569.1412235518 4404717.332218525, 620535.2270859396 4404717.020918021)"
"['Patrick Drive', 'Jon Lane']",residential,False,445.719,,40.2,,39.9,"LINESTRING (620569.1412235518 4404717.332218525, 620569.6644884697 4404558.80437961, 620743.0573284153 4404562.643603016, 620743.0654955591 4404676.327954689)"
Kilcrease Circle,residential,False,31.311,,40.2,,2.8,"LINESTRING (620713.7666031661 4404687.523600808, 620743.0654955591 4404676.327954689)"
Kilcrease Circle,residential,False,83.568,,40.2,,7.5,"LINESTRING (620713.7666031661 4404687.523600808, 620635.6885068394 4404717.713071004)"
Sean Court,residential,False,343.38800000000003,,40.2,,30.8,"LINESTRING (620713.7666031661 4404687.523600808, 620711.110308374 4404605.993285901, 620714.1180107933 4404589.054628281, 620604.9796048205 4404589.890292952, 620603.878582691 4404725.205959626)"
Kilcrease Circle,residential,False,83.568,,40.2,,7.5,"LINESTRING (620635.6885068394 4404717.713071004, 620713.7666031661 4404687.523600808)"
Kilcrease Circle,residential,False,34.153999999999996,,40.2,,3.1,"LINESTRING (620635.6885068394 4404717.713071004, 620615.3934951959 4404717.393713797, 620603.878582691 4404725.205959626)"
Kristin Court,residential,False,195.68099999999998,,40.2,,17.5,"LINESTRING (620635.6885068394 4404717.713071004, 620648.0076038482 4404745.883916045, 620741.9466246453 4404747.362981314, 620743.0654955591 4404676.327954689)"
